"artifact_id","category","description","absolute_source_path","canonical_relative_handoff_path","size_bytes","sha256","exists","current_status","supersedes","scientific_or_documentation","mentor_facing","notes"
"FH-V3-001","final_table","Paper-aligned Finetuning results","D:\桌面文件\ECG\tables\FINAL_TABLE3_FINETUNING.csv","tables/FINAL_TABLE3_FINETUNING.csv","25920","063C3BCB747731F66682E74466CFD82DEBD61106BCF0FA45CB6A478DA8E8B8A3","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=canonical normalized tables; paper-reference and difference metadata completion (2026-08-23); training-metadata recovery (2026-08-23)"
"FH-V3-002","final_table","Paper-aligned Frozen results","D:\桌面文件\ECG\tables\FINAL_TABLE4_FROZEN.csv","tables/FINAL_TABLE4_FROZEN.csv","21504","FB2C8F84FC1543EC3ADD0911CEDF253761B103149DAC73796D3F63F103988F5C","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=canonical normalized tables; paper-reference and difference metadata completion (2026-08-23); training-metadata recovery (2026-08-23)"
"FH-V3-003","final_table","Paper-aligned Linear results","D:\桌面文件\ECG\tables\FINAL_TABLE5_LINEAR.csv","tables/FINAL_TABLE5_LINEAR.csv","21403","D213E99E5BDBD0F4BFE40B71CCBF20724237B22EDCD5E6930DC4AD143154DAE5","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=canonical normalized tables; paper-reference and difference metadata completion (2026-08-23); training-metadata recovery (2026-08-23)"
"FH-V3-004","dataset_summary","PTB-XL(all) 26-entry summary","D:\桌面文件\ECG\tables\PTBXL_ALL_FINAL_RESULTS.csv","tables/PTBXL_ALL_FINAL_RESULTS.csv","10339","E44EDA049B92B671B23BB752B352584C2BF10710A9A9B00CF606C8A1B2452ABE","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=canonical normalized tables"
"FH-V3-005","dataset_summary","PTB-XL(sub) 26-entry summary","D:\桌面文件\ECG\tables\PTBXL_SUB_FINAL_RESULTS.csv","tables/PTBXL_SUB_FINAL_RESULTS.csv","14296","DA3A0C7C9D8DBB8D20F18772375C33EC892D4FB8D7E73BDF54DF21595E2F7599","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=canonical normalized tables"
"FH-V3-006","dataset_summary","PTB-XL(super) 26-entry summary","D:\桌面文件\ECG\tables\PTBXL_SUPER_FINAL_RESULTS.csv","tables/PTBXL_SUPER_FINAL_RESULTS.csv","14381","63F8180219E19BCDAF3C29B72CCF2A7C65295B6C7197A46EEA71450B7F139FF8","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=canonical normalized tables"
"FH-V3-007","completion_matrix","78-run completion authority","D:\桌面文件\ECG\tables\PTBXL_GLOBAL_FORMAL_RUN_COMPLETION_MATRIX.csv","tables/PTBXL_GLOBAL_FORMAL_RUN_COMPLETION_MATRIX.csv","66376","9D495DA244BF9E777D898AB3D3A1E4FBC4E2BEAF0810DDC67C44BC30DBE84B3C","YES","HISTORICAL_SNAPSHOT_NOT_CANONICAL","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=formal completion closure"
"FH-V3-008","mapping_status","Strict ECG-ID mapping status","D:\桌面文件\ECG\tables\PTBXL_GLOBAL_MAPPING_CLOSURE_STATUS.csv","tables/PTBXL_GLOBAL_MAPPING_CLOSURE_STATUS.csv","44929","DC4E2C333FF12722333951EFEA13481238B21B489009D33222DB1D236544DC60","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=mapping closure"
"FH-V3-009","mapping_evidence","Mapping evidence provenance","D:\桌面文件\ECG\tables\PTBXL_GLOBAL_MAPPING_EVIDENCE_RECOVERY.csv","tables/PTBXL_GLOBAL_MAPPING_EVIDENCE_RECOVERY.csv","44929","DC4E2C333FF12722333951EFEA13481238B21B489009D33222DB1D236544DC60","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=mapping closure"
"FH-V3-010","bootstrap_summary","Canonical bootstrap summary","D:\桌面文件\ECG\execution_control\PTBXL_FINAL_CLOSURE\FINAL_BOOTSTRAP_SUMMARY.csv","execution_control/PTBXL_FINAL_CLOSURE/FINAL_BOOTSTRAP_SUMMARY.csv","33866","01128ECEC456F7FD0231639B457B3E187DE6A7091F329CFBDEAB708F0292A8D6","YES","VERIFIED_CURRENT","","SCIENTIFIC_EVIDENCE","YES","Reverified from FINAL_DELIVERY_MANIFEST_V2 current bytes; source_manifest=FINAL_DELIVERY_MANIFEST_V1; authority_provenance=accepted locked bootstrap helper"
