dataset,model,mode,canonical_run,worker_group,instance_id,remote_path,local_path,artifact_types,prediction_artifact,target_artifact,aggregate_artifact,manifest_artifact,validation_sidecar,bundle_recovered,mapping_status,hash_status,notes
ptbxl_sub,MERL,Finetuning,PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1,SUB1,438,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_100_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,MERL,Frozen,PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1,SUB1,438,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_100_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,MERL,Linear,PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1,SUB1,438,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_100_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,ECGFM-KED,Finetuning,PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2,SUB2,087,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_0_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,ECGFM-KED,Frozen,PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2,SUB2,087,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_0_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,ECGFM-KED,Linear,PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2,SUB2,087,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_0_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,HuBERT-ECG,Finetuning,PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3,SUB3,746,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_0_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,HuBERT-ECG,Frozen,PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3,SUB3,746,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_0_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,HuBERT-ECG,Linear,PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3,SUB3,746,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_0_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
ptbxl_sub,S4,Finetuning,PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4,SUB4,438,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4,execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4,aggregate_prediction;raw_noagg_prediction_and_target;formal_command_manifest;mapping_validation_sidecar,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/predictions/ptbxl_sub_version_0/noagg/test_0_epoch_100_noagg.npz,embedded_in_raw_noagg_prediction,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/exact_formal_command.sh,/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/post_run_validation.json,YES,PASS,VERIFIED,Remote/local SHA256 equality verified before materialization.
