canonical_run,mapping_status,unique_test_ecg_ids,prediction_ecg_id_match,target_group_consistency,aggregation_reconstruction,saved_aggregate_match,max_abs_diff
PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUB_20_NET1D_FINETUNING_FORMAL_SUB4,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_10_MERL_FINETUNING_FORMAL_SUPER1,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_11_MERL_FROZEN_FORMAL_SUPER1,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_12_MERL_LINEAR_FORMAL_SUPER1,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_13_ECGFM_KED_FINETUNING_FORMAL_SUPER2,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_16_HUBERT_ECG_FINETUNING_FORMAL_SUPER3,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_17_HUBERT_ECG_FROZEN_FORMAL_SUPER3,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_18_HUBERT_ECG_LINEAR_FORMAL_SUPER3,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_19_S4_FINETUNING_FORMAL_SUPER4,PASS,2198,PASS,PASS,PASS,PASS,0
PTBXL_SUPER_20_NET1D_FINETUNING_FORMAL_SUPER4,PASS,2198,PASS,PASS,PASS,PASS,0
