canonical_experiment_key,formal_run_id,model,granularity,mode,formal_complete,ours_auroc,paper_auroc,difference,mapping_status,bootstrap_status,bootstrap_ci_available,best_checkpoint_reference_status,best_epoch_status,runtime_status,checkpoint_binary_status,prediction_evidence_status,canonical_identity_status,source_table,provenance_note
ECG-CPC|all|Finetuning,PTBXL_ALL_ECG_CPC_FINETUNING_FORMAL,ECG-CPC,all,Finetuning,YES,0.9489525779063319,0.949,-4.74220936681E-05,PASS,PROVENANCE_BLOCKED,NO,RECOVERED,RECOVERED,RECOVERED,AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; 
ECG-CPC|all|Frozen,PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013,ECG-CPC,all,Frozen,YES,0.9332918051170961,0.931,0.0022918051170961,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013/test_0_epoch_100_agg.npz
ECG-CPC|all|Linear,PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014,ECG-CPC,all,Linear,YES,0.8735590173033532,0.904,-0.0304409826966468,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014/test_0_epoch_100_agg.npz
ECG-CPC|sub|Finetuning,PTBXL_SUB_ECG_CPC_FINETUNING_FORMAL_052_01,ECG-CPC,sub,Finetuning,YES,0.939355526159927,0.940,-0.000644473840073,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE3_FINETUNING.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-CPC|sub|Frozen,PTBXL_SUB_ECG_CPC_FROZEN_FORMAL_052_02,ECG-CPC,sub,Frozen,YES,0.9355913948850507,0.934,0.0015913948850507,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE4_FROZEN.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-CPC|sub|Linear,PTBXL_SUB_ECG_CPC_LINEAR_FORMAL_052_03,ECG-CPC,sub,Linear,YES,0.8861611568482203,0.886,0.0001611568482203,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE5_LINEAR.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-CPC|super|Finetuning,PTBXL_SUPER_ECG_CPC_FINETUNING_FORMAL_052_04,ECG-CPC,super,Finetuning,YES,0.9328485166872431,0.934,-0.0011514833127569,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE3_FINETUNING.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-CPC|super|Frozen,PTBXL_SUPER_ECG_CPC_FROZEN_FORMAL_052_05,ECG-CPC,super,Frozen,YES,0.9181136532947134,0.919,-0.0008863467052866,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE4_FROZEN.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-CPC|super|Linear,PTBXL_SUPER_ECG_CPC_LINEAR_FORMAL_052_06,ECG-CPC,super,Linear,YES,0.8624813743871677,0.863,-0.0005186256128323,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE5_LINEAR.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-FM|all|Finetuning,PTBXL_ALL_ECG_FM_FINETUNING_FORMAL,ECG-FM,all,Finetuning,YES,0.9240472984002527,0.927,-0.0029527015997473,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecg_fm/remote_artifacts/ecg_fm_ptbxl_all_formal_20260817T104823Z/test_stage_no_bootstrap_20260817T163225Z/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz
ECG-FM|all|Frozen,PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015,ECG-FM,all,Frozen,YES,0.8841570476302272,0.884,0.0001570476302272,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015_RETRY_01/test_0_epoch_100_agg.npz
ECG-FM|all|Linear,PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016,ECG-FM,all,Linear,YES,0.8524638303812679,0.841,0.0114638303812679,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016/test_0_epoch_100_agg.npz
ECG-FM|sub|Finetuning,PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07,ECG-FM,sub,Finetuning,YES,0.9238766269677311,0.932,-0.0081233730322689,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE3_FINETUNING.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-FM|sub|Frozen,PTBXL_SUB_ECG_FM_FROZEN_FORMAL_052_08,ECG-FM,sub,Frozen,YES,0.9067981850900095,0.912,-0.0052018149099905,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE4_FROZEN.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-FM|sub|Linear,PTBXL_SUB_ECG_FM_LINEAR_FORMAL_052_09,ECG-FM,sub,Linear,YES,0.8789245176521392,0.866,0.0129245176521392,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE5_LINEAR.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-FM|super|Finetuning,PTBXL_SUPER_ECG_FM_FINETUNING_FORMAL_052_10,ECG-FM,super,Finetuning,YES,0.9171173212492894,0.916,0.0011173212492894,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_FINETUNING_FORMAL_052_10/test_0_epoch_100_agg.npz
ECG-FM|super|Frozen,PTBXL_SUPER_ECG_FM_FROZEN_FORMAL_052_11,ECG-FM,super,Frozen,YES,0.8823790082234277,0.877,0.0053790082234277,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_FROZEN_FORMAL_052_11/test_0_epoch_100_agg.npz
ECG-FM|super|Linear,PTBXL_SUPER_ECG_FM_LINEAR_FORMAL_052_12,ECG-FM,super,Linear,YES,0.8763569197393005,0.873,0.0033569197393005,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_LINEAR_FORMAL_052_12/test_0_epoch_100_agg.npz
ECG-JEPA|all|Finetuning,PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL,ECG-JEPA,all,Finetuning,YES,0.9386736236314708,0.940,-0.0013263763685292,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecg_jepa/test_0_epoch_100_agg.npz
ECG-JEPA|all|Frozen,PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003,ECG-JEPA,all,Frozen,YES,0.9289644981410439,0.934,-0.0050355018589561,PASS,COMPLETE,YES,RECOVERED,RECOVERED,RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003/test_0_epoch_100_agg.npz
ECG-JEPA|all|Linear,PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004,ECG-JEPA,all,Linear,YES,0.928294591305743,0.928,0.000294591305743,PASS,COMPLETE,YES,RECOVERED,RECOVERED,RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004/test_0_epoch_100_agg.npz
ECG-JEPA|sub|Finetuning,PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL,ECG-JEPA,sub,Finetuning,YES,0.9331787357525979,0.935,-0.0018212642474021,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/test_0_epoch_100_agg.npz
ECG-JEPA|sub|Frozen,PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL,ECG-JEPA,sub,Frozen,YES,0.9347207171608186,0.934,0.0007207171608186,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL/test_0_epoch_100_agg.npz
ECG-JEPA|sub|Linear,PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL,ECG-JEPA,sub,Linear,YES,0.9146194939756961,0.916,-0.0013805060243039,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL/test_0_epoch_100_agg.npz
