"table","dataset","model","mode","old_paper_reference","new_paper_reference","old_difference","new_difference","paper_source","status"
"Table 3","ptbxl_all","ECGFounder","Finetuning","0.934","0.934","0.0012999925999999107","0.0012999926","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","ECG-JEPA","Finetuning","0.940","0.940","-0.0013263763685291696","-0.0013263763685292","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","ST-MEM","Finetuning","0.908","0.908","0.024891529204535412","0.0248915292045354","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","MERL","Finetuning","0.925","0.925","-0.003777052515872459","-0.0037770525158724","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","ECGFM-KED","Finetuning","0.889","0.889","0.015677748190344398","0.0156777481903444","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","HuBERT-ECG","Finetuning","0.915","0.915","-0.001924481007915979","-0.0019244810079159","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","ECG-CPC","Finetuning","0.949","0.949","-4.742209366803696e-05","-4.74220936681E-05","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","ECG-FM","Finetuning","0.927","0.927","-0.002952701599747365","-0.0029527015997473","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","S4","Finetuning","0.941","0.941","-0.0001529305999999897","-0.0001529306","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_all","Net1D","Finetuning","0.929","0.929","0.0009172772999999079","0.0009172773","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","ECGFounder","Finetuning","NOT_REPORTED / NA","0.943","","-0.0012134051769233","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","ECG-JEPA","Finetuning","NOT_REPORTED / NA","0.935","","-0.0018212642474021","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","ST-MEM","Finetuning","NOT_REPORTED / NA","0.916","","0.0205498320984851","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","MERL","Finetuning","NOT_REPORTED / NA","0.937","","-0.002582316668423","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","ECGFM-KED","Finetuning","NOT_REPORTED / NA","0.908","","-0.0023623862916744","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","HuBERT-ECG","Finetuning","NOT_REPORTED / NA","0.918","","0.0077220848297101","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","ECG-CPC","Finetuning","NOT_REPORTED / NA","0.940","","-0.000644473840073","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","ECG-FM","Finetuning","NOT_REPORTED / NA","0.932","","-0.0081233730322689","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","S4","Finetuning","NOT_REPORTED / NA","0.938","","-0.001682620287908","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_sub","Net1D","Finetuning","NOT_REPORTED / NA","0.926","","0.0049598620520987","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","ECGFounder","Finetuning","NOT_REPORTED / NA","0.935","","-5.9255127374E-06","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","ECG-JEPA","Finetuning","NOT_REPORTED / NA","0.921","","0.002856682590019","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","ST-MEM","Finetuning","NOT_REPORTED / NA","0.901","","0.0266266102550871","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","MERL","Finetuning","NOT_REPORTED / NA","0.930","","-0.0022508215796503","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","ECGFM-KED","Finetuning","NOT_REPORTED / NA","0.905","","0.0077865059623268","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","HuBERT-ECG","Finetuning","NOT_REPORTED / NA","0.908","","-0.0059362751775679","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","ECG-CPC","Finetuning","NOT_REPORTED / NA","0.934","","-0.0011514833127569","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","ECG-FM","Finetuning","NOT_REPORTED / NA","0.916","","0.0011173212492894","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","S4","Finetuning","NOT_REPORTED / NA","0.932","","0.0019611755567642","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 3","ptbxl_super","Net1D","Finetuning","NOT_REPORTED / NA","0.924","","0.0035591309568997","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ECGFounder","Frozen","0.927","0.927","","0.00053666639328","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ECG-JEPA","Frozen","0.934","0.934","","-0.0050355018589561","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","ST-MEM","Frozen","0.910","0.910","","0.0047763388211488","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_all","MERL","Frozen","0.909","0.909","","0.0023014381097846","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
