"dataset","model","mode","canonical_run","best_epoch","runtime","best_checkpoint_reference","best_checkpoint_used_during_formal_run","checkpoint_artifact_currently_available","local_checkpoint_path","metadata_source","metadata_status","notes"
"ptbxl_all","ECGFounder","Finetuning","PTBXL_ALL_ECGFOUNDER_FINETUNING_FORMAL","4","28m04s","/root/autodl-tmp/formal/ecg_founder_ptbxl_all/output/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/ecg_founder/best_model.ckpt","experiments/ptbxl_all/ecg_founder/ptbxl_all_formal.log","COMPLETE","Run-bound local best checkpoint exists."
"ptbxl_all","ECG-JEPA","Finetuning","PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL","3","NOT_RECOVERED","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_ecg_jepa_ptbxl_all_32gb/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/ecg_jepa/best_model.ckpt","experiments/ptbxl_all/ecg_jepa/formal_ecg_jepa_ptbxl_all_32gb.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Run-bound local best checkpoint exists."
"ptbxl_all","ST-MEM","Finetuning","PTBXL_ALL_ST_MEM_FINETUNING_FORMAL","5","NOT_RECOVERED","/root/autodl-tmp/ECG/runs/stmem_ptbxl_all_formal_100_20260817T1834CST/output/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/st_mem/remote_runs/stmem_ptbxl_all_formal_100_20260817T1834CST/output/version_0/best_model.ckpt","experiments/ptbxl_all/st_mem/remote_runs/stmem_ptbxl_all_formal_100_20260817T1834CST/stdout_stderr.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Run-bound local best checkpoint exists."
"ptbxl_all","MERL","Finetuning","PTBXL_ALL_MERL_FINETUNING_FORMAL","31","14m22s","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_merl_ptbxl_all/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/merl/best_model.ckpt","experiments/ptbxl_all/merl/formal_merl_ptbxl_all.log","COMPLETE","Run-bound local best checkpoint exists."
"ptbxl_all","ECGFM-KED","Finetuning","PTBXL_ALL_ECGFM_KED_FINETUNING_FORMAL","16","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/ecgfm_ked_ptbxl_all_100e_195/output/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/ecgfm_ked/formal_archive_195/formal_runs/ecgfm_ked_ptbxl_all_100e_195/output/version_0/best_model.ckpt","experiments/ptbxl_all/ecgfm_ked/formal_archive_195/formal_runs/ecgfm_ked_ptbxl_all_100e_195/formal_training.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Run-bound local best checkpoint exists."
"ptbxl_all","HuBERT-ECG","Finetuning","PTBXL_ALL_HUBERT_ECG_FINETUNING_FORMAL","8","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/hubert_ecg_ptbxl_all_table3_finetuning_linear_restart_epoch0_20260818T102216+0800/outputs/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/hubert_ecg/remote_snapshot/formal_runs/hubert_ecg_ptbxl_all_table3_finetuning_linear_restart_epoch0_20260818T102216+0800/outputs/version_0/best_model.ckpt","experiments/ptbxl_all/hubert_ecg/remote_snapshot/formal_runs/hubert_ecg_ptbxl_all_table3_finetuning_linear_restart_epoch0_20260818T102216+0800/formal_training.stdout_stderr.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Run-bound local best checkpoint exists."
"ptbxl_all","ECG-CPC","Finetuning","PTBXL_ALL_ECG_CPC_FINETUNING_FORMAL","80","1h52m09s","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_ecg_cpc_ptbxl_all/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/ecg_cpc/best_model.ckpt","experiments/ptbxl_all/ecg_cpc/formal_ecg_cpc_ptbxl_all.log","COMPLETE","Run-bound local best checkpoint exists."
"ptbxl_all","ECG-FM","Finetuning","PTBXL_ALL_ECG_FM_FINETUNING_FORMAL","3","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/ecg_fm_ptbxl_all_formal_20260817T104823Z/output/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_all/ecg_fm/remote_artifacts/ecg_fm_ptbxl_all_formal_20260817T104823Z/output/version_0/best_model.ckpt","experiments/ptbxl_all/ecg_fm/remote_artifacts/ecg_fm_ptbxl_all_formal_20260817T104823Z/formal_training.stdout_stderr.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Run-bound local best checkpoint exists."
"ptbxl_all","S4","Finetuning","PTBXL_ALL_S4_FINETUNING_FORMAL","30","NOT_RECOVERED","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_s4_ptbxl_all/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_s4_formal/best_model.ckpt","experiments/ptbxl_s4_formal/formal_s4_ptbxl_all.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Run-bound local best checkpoint exists."
"ptbxl_all","Net1D","Finetuning","PTBXL_ALL_NET1D_FINETUNING_FORMAL","8","NOT_RECOVERED","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_net1d_ptbxl_all/version_0/best_model.ckpt","YES","YES","experiments/ptbxl_net1d_formal/best_model.ckpt","experiments/ptbxl_net1d_formal/formal_net1d_ptbxl_all.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Run-bound local best checkpoint exists."
"ptbxl_sub","ECGFounder","Finetuning","PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL","2","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL/formal_training.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","ECG-JEPA","Finetuning","PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL","3","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/formal_training.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","ST-MEM","Finetuning","PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03","NOT_RECOVERED","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03/post_run_validation.json","PARTIAL_CHECKPOINT_REFERENCE_ONLY","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","MERL","Finetuning","PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1","NOT_RECOVERED","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/post_run_validation.json","PARTIAL_CHECKPOINT_REFERENCE_ONLY","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","ECGFM-KED","Finetuning","PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2","NOT_RECOVERED","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/post_run_validation.json","PARTIAL_CHECKPOINT_REFERENCE_ONLY","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","HuBERT-ECG","Finetuning","PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3","NOT_RECOVERED","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/post_run_validation.json","PARTIAL_CHECKPOINT_REFERENCE_ONLY","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","ECG-CPC","Finetuning","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_CPC_FINETUNING__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","88","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_CPC_FINETUNING_FORMAL_052_01/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_CPC_FINETUNING_FORMAL_052_01/formal_training.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","ECG-FM","Finetuning","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_FM_FINETUNING__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","4","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07/formal_training.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","S4","Finetuning","PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4","NOT_RECOVERED","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/post_run_validation.json","PARTIAL_CHECKPOINT_REFERENCE_ONLY","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_sub","Net1D","Finetuning","PTBXL_SUB_20_NET1D_FINETUNING_FORMAL_SUB4","NOT_RECOVERED","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_20_NET1D_FINETUNING_FORMAL_SUB4/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_20_NET1D_FINETUNING_FORMAL_SUB4/post_run_validation.json","PARTIAL_CHECKPOINT_REFERENCE_ONLY","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_super","ECGFounder","Finetuning","PTBXL_SUPER_01_ECGFOUNDER_FINETUNING_FORMAL","4","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_01_ECGFOUNDER_FINETUNING_FORMAL/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_01_ECGFOUNDER_FINETUNING_FORMAL/formal_training.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
"ptbxl_super","ECG-JEPA","Finetuning","PTBXL_SUPER_04_ECG_JEPA_FINETUNING_FORMAL","2","NOT_RECOVERED","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_04_ECG_JEPA_FINETUNING_FORMAL/output/version_0/best_model.ckpt","YES","NO","","execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_04_ECG_JEPA_FINETUNING_FORMAL/formal_training.log","PARTIAL_BEST_EPOCH_AND_CHECKPOINT","Formal best-checkpoint use is recorded independently; no run-bound best checkpoint is currently present in the project-scoped local model-artifact inventory."
