"table","dataset","model","mode","old_paper_macro_auroc","new_paper_macro_auroc","source","status"
"Table 4","ptbxl_all","ECGFounder","Frozen","NOT_REPORTED / NA","0.927","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_all","ECG-JEPA","Frozen","NOT_REPORTED / NA","0.934","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_all","ST-MEM","Frozen","NOT_REPORTED / NA","0.910","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_all","MERL","Frozen","NOT_REPORTED / NA","0.909","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_all","ECGFM-KED","Frozen","NOT_REPORTED / NA","0.810","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_all","HuBERT-ECG","Frozen","NOT_REPORTED / NA","0.883","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_all","ECG-CPC","Frozen","NOT_REPORTED / NA","0.931","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_all","ECG-FM","Frozen","NOT_REPORTED / NA","0.884","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_sub","ECGFounder","Frozen","NOT_REPORTED / NA","0.939","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_sub","ECG-JEPA","Frozen","NOT_REPORTED / NA","0.934","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
