"dataset","model","mode","paper_macro_auroc","ours_macro_auroc","difference","ci_low","ci_high","best_epoch","runtime","prediction_status","ecg_id_mapping_status","bootstrap_status","canonical_run","provenance_reference","notes","paper_reference_source","paper_reference_status","best_checkpoint_reference","checkpoint_currently_available","best_checkpoint_used_during_formal_run"
"ptbxl_all","ECGFounder","Finetuning","0.934","0.9352999926","0.0012999926","","","4","28m04s","AVAILABLE_STRICT_MAPPING_PASS","PASS","BLOCKED_EXISTING_PROVENANCE","PTBXL_ALL_ECGFOUNDER_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; ","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/formal/ecg_founder_ptbxl_all/output/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","ECG-JEPA","Finetuning","0.940","0.9386736236314708","-0.0013263763685292","0.9031909614801407","0.9429703563451767","3","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecg_jepa/test_0_epoch_100_agg.npz","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_ecg_jepa_ptbxl_all_32gb/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","ST-MEM","Finetuning","0.908","0.9328915292045354","0.0248915292045354","0.9013921394944191","0.9362852424383163","5","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ST_MEM_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/st_mem/remote_runs/stmem_ptbxl_all_formal_test_no_bootstrap_20260818T112741CST/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/runs/stmem_ptbxl_all_formal_100_20260817T1834CST/output/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","MERL","Finetuning","0.925","0.9212229474841276","-0.0037770525158724","0.8895086333155632","0.9271359384059906","31","14m22s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_MERL_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/merl/test_0_epoch_100_agg.npz","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_merl_ptbxl_all/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","ECGFM-KED","Finetuning","0.889","0.9046777481903444","0.0156777481903444","0.874322809278965","0.9082983955740929","16","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECGFM_KED_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecgfm_ked/formal_archive_195/formal_tests/ecgfm_ked_ptbxl_all_best_no_bootstrap_195/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/ecgfm_ked_ptbxl_all_100e_195/output/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","HuBERT-ECG","Finetuning","0.915","0.9130755189920841","-0.0019244810079159","0.8819938063621521","0.917936772108078","8","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_HUBERT_ECG_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/hubert_ecg/remote_snapshot/formal_tests/hubert_ecg_ptbxl_all_best_epoch8_no_bootstrap_20260818T133913+0800/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/hubert_ecg_ptbxl_all_table3_finetuning_linear_restart_epoch0_20260818T102216+0800/outputs/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","ECG-CPC","Finetuning","0.949","0.9489525779063319","-4.74220936681E-05","","","80","1h52m09s","AVAILABLE_STRICT_MAPPING_PASS","PASS","BLOCKED_EXISTING_PROVENANCE","PTBXL_ALL_ECG_CPC_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; ","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_ecg_cpc_ptbxl_all/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","ECG-FM","Finetuning","0.927","0.9240472984002527","-0.0029527015997473","0.8909001022577285","0.9276217266917228","3","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_FM_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecg_fm/remote_artifacts/ecg_fm_ptbxl_all_formal_20260817T104823Z/test_stage_no_bootstrap_20260817T163225Z/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/ecg_fm_ptbxl_all_formal_20260817T104823Z/output/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","S4","Finetuning","0.941","0.9408470694","-0.0001529306","","","30","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","BLOCKED_EXISTING_PROVENANCE","PTBXL_ALL_S4_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; ","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_s4_ptbxl_all/version_0/best_model.ckpt","YES","YES"
"ptbxl_all","Net1D","Finetuning","0.929","0.9299172773","0.0009172773","","","8","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","BLOCKED_EXISTING_PROVENANCE","PTBXL_ALL_NET1D_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; ","","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ecg_ptbxl_reproduction/outputs/formal_net1d_ptbxl_all/version_0/best_model.ckpt","YES","YES"
"ptbxl_sub","ECGFounder","Finetuning","0.943","0.9417865948230767","-0.0012134051769233","0.9110910624265671","0.9510943531990051","2","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-JEPA","Finetuning","0.935","0.9331787357525979","-0.0018212642474021","0.9024059727787972","0.9420099064707756","3","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ST-MEM","Finetuning","0.916","0.9365498320984851","0.0205498320984851","0.9053648233413696","0.9457270100712776","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","MERL","Finetuning","0.937","0.934417683331577","-0.002582316668423","0.899165304005146","0.944717375934124","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1","EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECGFM-KED","Finetuning","0.908","0.9056376137083256","-0.0023623862916744","0.8776725187897683","0.9198644638061524","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2","EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","HuBERT-ECG","Finetuning","0.918","0.9257220848297101","0.0077220848297101","0.8956966206431389","0.9357872113585473","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3","EMERGENCY_WORKERS instance=746; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_16_HUBERT_ECG_FINETUNING_FORMAL_SUB3/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-CPC","Finetuning","0.940","0.939355526159927","-0.000644473840073","0.9064395174384117","0.9494918555021286","88","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_CPC_FINETUNING__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_CPC_FINETUNING_FORMAL_052_01/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_CPC_FINETUNING_FORMAL_052_01/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-FM","Finetuning","0.932","0.9238766269677311","-0.0081233730322689","0.8912225380539894","0.9337662339210511","4","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_FM_FINETUNING__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","S4","Finetuning","0.938","0.936317379712092","-0.001682620287908","0.9069498673081398","0.9447631135582923","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4","EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_19_S4_FINETUNING_FORMAL_SUB4/output/version_0/best_model.ckpt","NO","YES"
