"dataset","model","mode","paper_macro_auroc","ours_macro_auroc","difference","ci_low","ci_high","best_epoch","runtime","prediction_status","ecg_id_mapping_status","bootstrap_status","canonical_run","provenance_reference","notes","paper_reference_source","paper_reference_status","best_checkpoint_reference","checkpoint_currently_available","best_checkpoint_used_during_formal_run"
"ptbxl_all","ECGFounder","Frozen","0.927","0.927536666393280","0.00053666639328","","","4","16m58s","AVAILABLE_HISTORICAL_MAPPING_BLOCKED","BLOCKED","NOT_ELIGIBLE_HISTORICAL_BLOCKER","PTBXL_ALL_ECGFOUNDER_FROZEN_FORMAL_RUN_001","docs/PTBXL_ALL_FROZEN_LINEAR_FINAL_CLOSURE_REPORT.md (ECGFounder Frozen Run 1 preserved sidecar)","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","docs/PTBXL_ALL_FROZEN_LINEAR_FINAL_CLOSURE_REPORT.md#PTBXL_ALL_FROZEN_LINEAR_COMPLETION_STATUS (Best ckpt=YES; exact remote pathname not retained)","NO","YES"
"ptbxl_all","ECG-JEPA","Frozen","0.934","0.9289644981410439","-0.0050355018589561","0.8941241577267647","0.9321355417370796","1","3h47m15s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ST-MEM","Frozen","0.910","0.9147763388211488","0.0047763388211488","0.8848086833953858","0.9205353677272796","73","1h29m02s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ST_MEM_FROZEN_FORMAL_RUN_005","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ST_MEM_FROZEN_FORMAL_RUN_005/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ST_MEM_FROZEN_FORMAL_RUN_005/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","MERL","Frozen","0.909","0.9113014381097846","0.0023014381097846","0.8806515857577324","0.9153698489069939","13","12m31s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_MERL_FROZEN_FORMAL_RUN_007","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_MERL_FROZEN_FORMAL_RUN_007/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_MERL_FROZEN_FORMAL_RUN_007/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ECGFM-KED","Frozen","0.810","0.812137109350008","0.002137109350008","0.7815924838185311","0.826406666636467","43","18m31s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECGFM_KED_FROZEN_FORMAL_RUN_009","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECGFM_KED_FROZEN_FORMAL_RUN_009/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECGFM_KED_FROZEN_FORMAL_RUN_009/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","HuBERT-ECG","Frozen","0.883","0.8836542745917262","0.0006542745917262","0.8528773784637451","0.8887868762016297","7","2h13m34s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_HUBERT_ECG_FROZEN_FORMAL_RUN_011","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_HUBERT_ECG_FROZEN_FORMAL_RUN_011/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_HUBERT_ECG_FROZEN_FORMAL_RUN_011/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ECG-CPC","Frozen","0.931","0.9332918051170961","0.0022918051170961","0.9011684745550156","0.9362676322460175","49","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ECG-FM","Frozen","0.884","0.8841570476302272","0.0001570476302272","0.8508604735136032","0.8934981390833855","90","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015_RETRY_01/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015_RETRY_01/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECGFounder","Frozen","0.939","0.9382073766325973","-0.0007926233674027","0.909586314857006","0.9464298740029335","1","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-JEPA","Frozen","0.934","0.9347207171608186","0.0007207171608186","0.9066148921847343","0.9428438872098923","1","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ST-MEM","Frozen","0.931","0.9212773036057852","-0.0097226963942148","0.8888367667794228","0.9320247277617455","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","MERL","Frozen","0.917","0.9126117081916287","-0.0043882918083713","0.8800609365105629","0.9228876695036888","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1","EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECGFM-KED","Frozen","0.816","0.9133209110207481","0.0973209110207481","0.8830658942461014","0.9241976097226143","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2","EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","HuBERT-ECG","Frozen","0.903","0.9019865466210889","-0.0010134533789111","0.8708568170666695","0.9123958185315132","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3","EMERGENCY_WORKERS instance=746; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_17_HUBERT_ECG_FROZEN_FORMAL_SUB3/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-CPC","Frozen","0.934","0.9355913948850507","0.0015913948850507","0.9085262715816498","0.9422409787774086","32","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_CPC_FROZEN__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_CPC_FROZEN_FORMAL_052_02/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_CPC_FROZEN_FORMAL_052_02/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-FM","Frozen","0.912","0.9067981850900095","-0.0052018149099905","0.8773800507187843","0.9163503959774971","93","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_FM_FROZEN__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_FM_FROZEN_FORMAL_052_08/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_FM_FROZEN_FORMAL_052_08/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECGFounder","Frozen","0.928","0.9279415770533792","-5.84229466208E-05","0.9211754217743874","0.9340686336159706","49","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_02_ECGFOUNDER_FROZEN_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_02_ECGFOUNDER_FROZEN_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_02_ECGFOUNDER_FROZEN_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECG-JEPA","Frozen","0.917","0.918862323024819","0.001862323024819","0.9114444956183434","0.9258729070425034","1","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_05_ECG_JEPA_FROZEN_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_05_ECG_JEPA_FROZEN_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_05_ECG_JEPA_FROZEN_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ST-MEM","Frozen","0.923","0.9183862591341126","-0.0046137408658874","0.9110615402460098","0.9252676948904991","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_08_ST_MEM_FROZEN_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_08_ST_MEM_FROZEN_FORMAL/predictions/ptbxl_super_version_0/agg/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_08_ST_MEM_FROZEN_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","MERL","Frozen","0.915","0.9135595447121643","-0.0014404552878357","0.9064651966094971","0.9211511418223381","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_11_MERL_FROZEN_FORMAL_SUPER1","EMERGENCY_WORKERS instance=573; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_11_MERL_FROZEN_FORMAL_SUPER1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_11_MERL_FROZEN_FORMAL_SUPER1/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_11_MERL_FROZEN_FORMAL_SUPER1/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECGFM-KED","Frozen","0.865","0.9086709460592648","0.0436709460592648","0.9007499203085899","0.9162874162197113","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2","EMERGENCY_WORKERS instance=F42; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","HuBERT-ECG","Frozen","0.892","0.8909346663382249","-0.0010653336617751","0.882191053032875","0.8992795944213867","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_17_HUBERT_ECG_FROZEN_FORMAL_SUPER3","EMERGENCY_WORKERS instance=E96; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_17_HUBERT_ECG_FROZEN_FORMAL_SUPER3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_17_HUBERT_ECG_FROZEN_FORMAL_SUPER3/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_17_HUBERT_ECG_FROZEN_FORMAL_SUPER3/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECG-CPC","Frozen","0.919","0.9181136532947134","-0.0008863467052866","0.9109831199049949","0.9249314963817596","30","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUPER_ECG_CPC_FROZEN__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUPER_ECG_CPC_FROZEN_FORMAL_052_05/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER_ECG_CPC_FROZEN_FORMAL_052_05/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECG-FM","Frozen","0.877","0.8823790082234277","0.0053790082234277","0.8739891827106476","0.8911411017179489","80","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_ECG_FM_FROZEN_FORMAL_052_11","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_FROZEN_FORMAL_052_11/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER_ECG_FM_FROZEN_FORMAL_052_11/output/version_0/best_model.ckpt","NO","YES"
