"dataset","model","mode","paper_macro_auroc","ours_macro_auroc","difference","ci_low","ci_high","best_epoch","runtime","prediction_status","ecg_id_mapping_status","bootstrap_status","canonical_run","provenance_reference","notes","paper_reference_source","paper_reference_status","best_checkpoint_reference","checkpoint_currently_available","best_checkpoint_used_during_formal_run"
"ptbxl_all","ECGFounder","Linear","0.931","0.930858314037323","-0.000141685962677","","","15","16m24s","AVAILABLE_STRICT_MAPPING_PASS","PASS","BLOCKED_EXISTING_PROVENANCE","PTBXL_ALL_ECGFOUNDER_LINEAR_FORMAL_RUN_002","REUSED_LEGACY_55_RUNS; ","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","docs/PTBXL_ALL_FROZEN_LINEAR_FINAL_CLOSURE_REPORT.md#PTBXL_ALL_FROZEN_LINEAR_COMPLETION_STATUS (Best ckpt=YES; exact remote pathname not retained)","NO","YES"
"ptbxl_all","ECG-JEPA","Linear","0.928","0.928294591305743","0.000294591305743","0.8982574701309204","0.9324362382292748","69","3h44m34s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ST-MEM","Linear","0.908","0.9089388437415884","0.0009388437415884","0.8766545429825783","0.9135813698172569","97","1h29m32s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ST_MEM_LINEAR_FORMAL_RUN_006","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ST_MEM_LINEAR_FORMAL_RUN_006/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ST_MEM_LINEAR_FORMAL_RUN_006/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","MERL","Linear","0.883","0.8860215708330912","0.0030215708330912","0.8541590392589569","0.8936964347958565","99","12m31s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_MERL_LINEAR_FORMAL_RUN_008","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_MERL_LINEAR_FORMAL_RUN_008/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_MERL_LINEAR_FORMAL_RUN_008/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ECGFM-KED","Linear","0.706","0.688631656489716","-0.017368343510284","0.6704775884747505","0.7131613701581955","98","17m01s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","HuBERT-ECG","Linear","0.867","0.8651979364334863","-0.0018020635665137","0.8339095398783684","0.872191059589386","60","2h11m34s","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_HUBERT_ECG_LINEAR_FORMAL_RUN_012","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_HUBERT_ECG_LINEAR_FORMAL_RUN_012/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_HUBERT_ECG_LINEAR_FORMAL_RUN_012/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ECG-CPC","Linear","0.904","0.8735590173033532","-0.0304409826966468","0.8443989798426628","0.8789446771144866","99","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_all","ECG-FM","Linear","0.841","0.8524638303812679","0.0114638303812679","0.8222985759377479","0.8620819941163063","85","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECGFounder","Linear","0.945","0.9437089716429289","-0.0012910283570711","0.9169285327196122","0.9516828447580338","85","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-JEPA","Linear","0.916","0.9146194939756961","-0.0013805060243039","0.8895678818225861","0.929827219247818","96","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL/output/version_0/best_model.ckpt","NO","YES"
