dataset,model,mode,paper_macro_auroc,ours_macro_auroc,difference,ci_low,ci_high,best_epoch,runtime,prediction_status,ecg_id_mapping_status,bootstrap_status,canonical_run,provenance_reference,notes
ptbxl_all,ECGFounder,Finetuning,0.934,0.9352999926,0.0012999925999999107,,,4,,AVAILABLE_STRICT_MAPPING_PASS,PASS,BLOCKED_EXISTING_PROVENANCE,PTBXL_ALL_ECGFOUNDER_FINETUNING_FORMAL,REUSED_LEGACY_55_RUNS; ,
ptbxl_all,ECGFounder,Frozen,NOT_REPORTED / NA,0.927536666393280,,,,4,16m58s,AVAILABLE_HISTORICAL_MAPPING_BLOCKED,BLOCKED,NOT_ELIGIBLE_HISTORICAL_BLOCKER,PTBXL_ALL_ECGFOUNDER_FROZEN_FORMAL_RUN_001,docs/PTBXL_ALL_FROZEN_LINEAR_FINAL_CLOSURE_REPORT.md (ECGFounder Frozen Run 1 preserved sidecar),No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_all,ECGFounder,Linear,NOT_REPORTED / NA,0.930858314037323,,,,15,16m24s,AVAILABLE_STRICT_MAPPING_PASS,PASS,BLOCKED_EXISTING_PROVENANCE,PTBXL_ALL_ECGFOUNDER_LINEAR_FORMAL_RUN_002,REUSED_LEGACY_55_RUNS; ,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_all,ECG-JEPA,Finetuning,0.940,0.9386736236314708,-0.0013263763685291696,0.9031909614801407,0.9429703563451767,3,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecg_jepa/test_0_epoch_100_agg.npz,
ptbxl_all,ECG-JEPA,Frozen,NOT_REPORTED / NA,0.9289644981410439,,0.8941241577267647,0.9321355417370796,1,3h47m15s,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_all,ECG-JEPA,Linear,NOT_REPORTED / NA,0.928294591305743,,0.8982574701309204,0.9324362382292748,69,3h44m34s,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_all,ST-MEM,Finetuning,0.908,0.9328915292045354,0.024891529204535412,0.9013921394944191,0.9362852424383163,5,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_ALL_ST_MEM_FINETUNING_FORMAL,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/st_mem/remote_runs/stmem_ptbxl_all_formal_test_no_bootstrap_20260818T112741CST/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz,
ptbxl_all,ST-MEM,Frozen,NOT_REPORTED / NA,0.9147763388211488,,0.8848086833953858,0.9205353677272796,73,1h29m02s,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_ALL_ST_MEM_FROZEN_FORMAL_RUN_005,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ST_MEM_FROZEN_FORMAL_RUN_005/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_all,ST-MEM,Linear,NOT_REPORTED / NA,0.9089388437415884,,0.8766545429825783,0.9135813698172569,97,1h29m32s,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_ALL_ST_MEM_LINEAR_FORMAL_RUN_006,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ST_MEM_LINEAR_FORMAL_RUN_006/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_all,MERL,Finetuning,0.925,0.9212229474841276,-0.003777052515872459,0.8895086333155632,0.9271359384059906,31,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_ALL_MERL_FINETUNING_FORMAL,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/merl/test_0_epoch_100_agg.npz,
