dataset,model,mode,paper_macro_auroc,ours_macro_auroc,difference,ci_low,ci_high,best_epoch,runtime,prediction_status,ecg_id_mapping_status,bootstrap_status,canonical_run,provenance_reference,notes
ptbxl_sub,ECGFounder,Finetuning,NOT_REPORTED / NA,0.9417865948230767,,0.9110910624265671,0.9510943531990051,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ECGFounder,Frozen,NOT_REPORTED / NA,0.9382073766325973,,0.909586314857006,0.9464298740029335,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ECGFounder,Linear,NOT_REPORTED / NA,0.9437089716429289,,0.9169285327196122,0.9516828447580338,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ECG-JEPA,Finetuning,NOT_REPORTED / NA,0.9331787357525979,,0.9024059727787972,0.9420099064707756,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ECG-JEPA,Frozen,NOT_REPORTED / NA,0.9347207171608186,,0.9066148921847343,0.9428438872098923,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ECG-JEPA,Linear,NOT_REPORTED / NA,0.9146194939756961,,0.8895678818225861,0.929827219247818,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ST-MEM,Finetuning,NOT_REPORTED / NA,0.9365498320984851,,0.9053648233413696,0.9457270100712776,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03/predictions/ptbxl_sub_version_0/agg/test_0_epoch_0_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ST-MEM,Frozen,NOT_REPORTED / NA,0.9212773036057852,,0.8888367667794228,0.9320247277617455,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,ST-MEM,Linear,NOT_REPORTED / NA,0.9148336391255671,,0.8821931779384613,0.9249387562274933,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
ptbxl_sub,MERL,Finetuning,NOT_REPORTED / NA,0.934417683331577,,0.899165304005146,0.944717375934124,,,AVAILABLE_STRICT_MAPPING_PASS,PASS,COMPLETED,PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1,EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1/test_0_epoch_100_agg.npz,No corresponding verified paper value was located in the existing local paper extract; no value was inferred.
