canonical_experiment_key,formal_run_id,source_relative_path,source_sha256,source_record_count,source_shape,source_dtype,mapping_evidence_path,derived_data_path,derived_sha256,derived_record_count,output_dim,prediction_roundtrip_max_abs_diff,target_exact_match,ecg_id_exact_match,status
ECGFounder|all|Finetuning,PTBXL_ALL_ECGFOUNDER_FINETUNING_FORMAL,sample_predictions/record_level/ecgfounder/all/finetuning/PTBXL_ALL_ECGFOUNDER_FINETUNING_FORMAL_record_level.npz,faf53dd6d71651ec531618291074fce3f62e6221e030b0242b1a8947adf69cc3,2198,2198x71,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecgfounder__all__finetuning.js,ad8fa41e0fb8fe33f34466e82b05b112c44e148a15c886b7576ae58ea5deb661,2198,71,0,YES,YES,PASS
ECGFounder|all|Frozen,PTBXL_ALL_ECGFOUNDER_FROZEN_FORMAL_RUN_001,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,sample_predictions/metadata/test_prediction_index_mapping.csv,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,71,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_PACKAGED_PHYSICAL_SOURCE_UNAVAILABLE
ECGFounder|all|Linear,PTBXL_ALL_ECGFOUNDER_LINEAR_FORMAL_RUN_002,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,sample_predictions/metadata/test_prediction_index_mapping.csv,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,71,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_PACKAGED_PHYSICAL_SOURCE_UNAVAILABLE
ECGFounder|sub|Finetuning,PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL,sample_predictions/record_level/ecgfounder/sub/finetuning/PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL_record_level.npz,57b5e6a4259b8cf299245848df79e1cb37a28f01068bc16431a368233f16c753,2198,2198x23,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecgfounder__sub__finetuning.js,4be0cac9e21ecec03c29fe826aa5c4b0054fc6184a8d3f70b684a706dd43300a,2198,23,0,YES,YES,PASS
ECGFounder|sub|Frozen,PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL,sample_predictions/record_level/ecgfounder/sub/frozen/PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL_record_level.npz,d6af750e14989ace70e633a3758b94eb4e79f08ac592071c17c7d60826cbf613,2198,2198x23,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecgfounder__sub__frozen.js,a5b446923dc0a63150db07dc9db439a6de37ec80c8ada140d8ebaebc68da9185,2198,23,0,YES,YES,PASS
ECGFounder|sub|Linear,PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL,sample_predictions/record_level/ecgfounder/sub/linear/PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL_record_level.npz,d6fb75f8bb4127a8fe81f9c1d06978ba496747edc71280b0bb93a853a06a0d66,2198,2198x23,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecgfounder__sub__linear.js,22ef5a3f287ce74002ecb5b5f08b5fd4691bc33b37c2bf34ede218ba5dbfd33b,2198,23,0,YES,YES,PASS
ECGFounder|super|Finetuning,PTBXL_SUPER_01_ECGFOUNDER_FINETUNING_FORMAL,sample_predictions/record_level/ecgfounder/super/finetuning/PTBXL_SUPER_01_ECGFOUNDER_FINETUNING_FORMAL_record_level.npz,0f6e09641f2b195f4ad08367c4bcdcc93e719c350dffcd50da1933a1850b298e,2198,2198x5,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecgfounder__super__finetuning.js,12dcc456bfc6d69a4307e68dcc7f14186ebcc138444a3cc5e29ee388852b54d4,2198,5,0,YES,YES,PASS
ECGFounder|super|Frozen,PTBXL_SUPER_02_ECGFOUNDER_FROZEN_FORMAL,sample_predictions/record_level/ecgfounder/super/frozen/PTBXL_SUPER_02_ECGFOUNDER_FROZEN_FORMAL_record_level.npz,c7d444ff4dfff7006e9891d186e5456ef0534c75540708aa8e87270ae29f9f56,2198,2198x5,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecgfounder__super__frozen.js,49f5675a9b1c304f6478b9a2cb309b6121a6d978724a8db363f61f65234ee23d,2198,5,0,YES,YES,PASS
ECGFounder|super|Linear,PTBXL_SUPER_03_ECGFOUNDER_LINEAR_FORMAL,sample_predictions/record_level/ecgfounder/super/linear/PTBXL_SUPER_03_ECGFOUNDER_LINEAR_FORMAL_record_level.npz,9d9aaec3850e9c0a201515675d1a5007e5a8833baa836b09c60e7e5d6e556dd2,2198,2198x5,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecgfounder__super__linear.js,7a61ba46cb3b4ce29d715621738bc2cf4a49b546ce5d4e1fedb4f6e1ffe6ac7a,2198,5,0,YES,YES,PASS
ECG-JEPA|all|Finetuning,PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL,sample_predictions/record_level/ecg-jepa/all/finetuning/PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL_record_level.npz,56f20d55fb4f9f496498cf1f5f62799ec1edc901408c49831c18bd493c784915,2198,2198x71,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecg-jepa__all__finetuning.js,fec83d1b172bbd78f944e312255d96f8e704cb636f3dd6ec51dc6402225c35e9,2198,71,0,YES,YES,PASS
ECG-JEPA|all|Frozen,PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003,sample_predictions/record_level/ecg-jepa/all/frozen/PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003_record_level.npz,a0dbc8135cda2a2092fcb4ad98281fa188549da228c034abed765383b8fd2f03,2198,2198x71,float32,sample_predictions/metadata/test_prediction_index_mapping.csv,review_html/data/runs/ecg-jepa__all__frozen.js,6379acc9e5fdb870a5408f28abdb82f31bfe039d47d6522c07fe7ca09c5bcfa1,2198,71,0,YES,YES,PASS
